p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
2.5104049016653847e-18,0.32693181083920364,0.98,0.666,5.319296946138784e-14,14,Snhg11
2.6242985591011254e-18,0.3988594535486729,0.98,0.691,5.560626216879375e-14,14,Ube3a
1.5063500406486082e-15,0.33500217821424094,0.96,0.694,3.191805101130336e-11,14,Dlg2
3.0301496521821342e-15,0.2548538375283589,0.98,0.796,6.420584098008724e-11,14,Meg3
8.881330494268005e-15,0.348956097094677,0.94,0.684,1.8818651184304475e-10,14,Ahi1
2.969254905718318e-13,0.21302645690395172,0.96,0.7,6.291554219726544e-9,14,Nrg3
8.824336053014765e-13,0.20000388893543186,0.98,0.699,1.8697885662732987e-8,14,Ank3
1.2232039542714392e-11,0.343359718330309,0.82,0.509,2.5918468587057525e-7,14,Nrg3os
2.0172546672554073e-11,0.2307228375650947,0.96,0.661,4.2743609144474823e-7,14,Nrg1
3.882507364166522e-11,0.20121985353140892,0.98,0.686,8.226644853932444e-7,14,Cntnap2
6.904903951512886e-11,0.2939437873507088,0.86,0.51,1.4630800982860655e-6,14,Gm20642
7.270638344085256e-11,0.2904300819793778,0.82,0.565,1.540575558728225e-6,14,A230006K03Rik
8.884118605187153e-11,0.216095407600416,0.96,0.714,1.8824558912531057e-6,14,Ccser1
1.90157866145371e-10,0.2047271545494065,0.92,0.67,4.029255025754266e-6,14,Nkain2
1.9783002250263178e-10,0.22259075373378034,0.88,0.501,4.191820346808264e-6,14,Xkr6
2.0756240010913484e-10,0.21300074691123383,0.94,0.619,4.398039695912458e-6,14,Celf4
2.693067776880378e-10,0.3762108827245798,0.66,0.352,5.7063413124318325e-6,14,Stxbp5l
2.994410337752556e-10,0.33645764680582024,0.9,0.575,6.344856064663892e-6,14,Dpp10
7.728289150344552e-10,0.31656635368350095,0.7,0.378,1.637547188066507e-5,14,Zfp385b
9.788210668777157e-10,0.33261043839611215,0.86,0.556,2.074023958607192e-5,14,Cdh18
1.44533345747749e-9,0.30286164460034926,0.86,0.549,3.062517063049054e-5,14,Galntl6
1.6039055717432004e-9,0.23909620198748882,0.84,0.564,3.398515515966667e-5,14,Usp29
1.744428221476569e-9,0.23985570238709925,0.42,0.127,3.696268958486702e-5,14,Gm44643
2.374253802462972e-9,0.3660017752234891,0.74,0.424,5.030806382038792e-5,14,Rmst
3.2032136504898527e-9,0.34954719647565735,0.86,0.688,6.78728940402295e-5,14,Ralyl
5.677226668020342e-9,0.3217724191489312,0.76,0.372,1.2029475586868302e-4,14,Tafa2
6.390806246131809e-9,0.20205934655174596,0.84,0.54,1.354147935492869e-4,14,Hecw1
6.704510200194238e-9,0.2861107058278709,0.56,0.301,1.4206186663191572e-4,14,Gm11659
1.1699015270500017e-8,0.24920545148087947,0.88,0.641,2.478904345666249e-4,14,Lingo2
1.4655742017316898e-8,0.26466984342426536,0.82,0.625,3.1054051760492777e-4,14,Eml6
1.5111170849586106e-8,0.29527793559680543,0.62,0.353,3.2019059913188e-4,14,Slc35f4
1.6829647476734074e-8,0.28321675130489166,0.76,0.455,3.566034003845183e-4,14,Gm32509
1.7677407413419246e-8,0.253673873054552,0.86,0.63,3.745665856829404e-4,14,Sntg1
2.120804451738453e-8,0.3408464066181359,0.72,0.491,4.493772552788608e-4,14,Gm26871
2.2745836854016735e-8,0.2109692227796467,0.88,0.601,4.819615370997606e-4,14,Myt1l
2.7382444174599562e-8,0.27813181634799544,0.66,0.375,5.802066096155901e-4,14,Hap1
2.967468468207035e-8,0.3221719478581539,0.62,0.323,6.287768937283887e-4,14,Chrm3
3.9433922728091386e-8,0.2414274326812964,0.96,0.695,8.355653886855283e-4,14,Lrrtm4
1.0102080125946599e-7,0.25415642682143913,0.32,0.107,0.002140529757886825,14,5530401A14Rik
1.1294855358491759e-7,0.30659227412806533,0.7,0.399,0.002393266901910819,14,Gm15398
1.1419585595201957e-7,0.2790199144107979,0.9,0.601,0.0024196959917673426,14,Ctnna3
1.1562272890573994e-7,0.49215564134101497,0.72,0.419,0.0024499300027837237,14,Zfp804b
1.5822765162528407e-7,0.21251904367373886,0.82,0.603,0.003352685710288144,14,Gabrb3
2.0908655500896836e-7,0.26495927022861276,0.7,0.491,0.0044303350140850305,14,Grm8
2.1385613391968795e-7,0.31461096144069267,0.54,0.231,0.004531397621624268,14,B230217J21Rik
2.3343940663362468e-7,0.2874101615864545,0.74,0.495,0.004946347587159873,14,D830024N08Rik
3.9911326540121046e-7,0.2586906142032174,0.62,0.317,0.008456810980586248,14,Hcn1
